oac1,251,229,39
oac2,252,252,109
oac3,251,250,100
oac4,252,250,141
oac5,251,252,184
oac6,246,242,187
oac7,250,246,211
oac8,229,224,38
oac9,245,242,68
oac10,251,245,45
oac11,248,246,147
oac12,252,250,144
oac13,246,246,195
oac14,252,245,181
oac15,176,186,41
oac16,234,235,165
oac17,185,178,34
oac18,197,191,57
oac19,220,206,36
oac20,215,212,121
oac21,224,214,119
oac22,228,226,179
oac23,233,225,166
oac24,198,212,40
oac25,229,234,37
oac26,226,233,61
oac27,234,239,97
oac28,239,244,141
oac29,245,247,181
oac30,249,250,215
oac31,162,171,36
oac32,186,186,35
oac33,195,198,55
oac34,203,204,85
oac35,206,208,119
oac36,219,220,156
oac37,227,224,185
oac38,106,119,38
oac39,129,144,46
oac40,152,161,81
oac41,159,167,101
oac42,175,180,126
oac43,178,181,140
oac44,196,197,166
oac45,181,202,37
oac46,199,220,43
oac47,210,228,79
oac48,220,234,103
oac49,226,236,131
oac50,233,241,170
oac51,240,243,189
oac52,149,160,41
oac53,198,200,140
oac54,130,148,38
oac55,154,173,49
oac56,178,191,82
oac57,187,197,112
oac58,193,200,132
oac59,211,216,160
oac60,215,217,177
oac61,158,186,42
oac62,189,214,56
oac63,208,226,98
oac64,215,230,129
oac65,222,234,150
oac66,233,242,178
oac67,240,243,199
oac68,126,161,41
oac69,157,188,50
oac70,161,178,76
oac71,187,200,127
oac72,191,201,146
oac73,203,212,159
oac74,215,219,195
oac75,150,200,45
oac76,174,211,53
oac77,196,222,89
oac78,215,234,146
oac79,231,241,180
oac80,238,245,203
oac81,244,248,224
oac82,90,123,44
oac83,109,138,54
oac84,144,160,88
oac85,153,167,111
oac86,165,178,133
oac87,178,184,149
oac88,195,199,173
oac89,108,157,43
oac90,124,165,59
oac91,168,190,101
oac92,178,198,127
oac93,182,198,146
oac94,206,215,171
oac95,215,221,190
oac96,128,191,41
oac97,148,201,61
oac98,170,212,87
oac99,206,230,142
oac100,211,232,165
oac101,228,239,188
oac102,237,243,208
oac103,58,113,42
oac104,87,130,49
oac105,120,151,83
oac106,137,159,105
oac107,163,177,146
oac108,186,194,172
oac109,212,215,202
oac110,65,142,43
oac111,99,154,51
oac112,116,161,71
oac113,137,179,92
oac114,172,191,139
oac115,186,205,165
oac116,221,225,211
oac117,71,174,43
oac118,115,189,56
oac119,156,207,102
oac120,179,219,134
oac121,209,232,185
oac122,225,238,206
oac123,242,246,231
oac124,47,139,48
oac125,89,152,62
oac126,108,158,80
oac127,128,175,103
oac128,141,180,127
oac129,164,196,152
oac130,175,203,173
oac131,48,170,55
oac132,100,184,69
oac133,124,194,92
oac134,151,208,132
oac135,170,213,156
oac136,183,220,168
oac137,201,230,202
oac138,44,106,50
oac139,75,125,61
oac140,106,144,98
oac141,120,151,115
oac142,149,166,137
oac143,165,182,155
oac144,182,198,172
oac145,25,165,92
oac146,43,173,101
oac147,107,189,137
oac148,129,202,164
oac149,183,223,188
oac150,199,226,205
oac151,219,232,214
oac152,25,135,78
oac153,42,142,84
oac154,95,164,119
oac155,116,175,144
oac156,166,200,172
oac157,181,204,188
oac158,199,211,197
oac159,35,109,77
oac160,52,125,96
oac161,101,146,129
oac162,121,159,141
oac163,156,179,168
oac164,179,194,185
oac165,201,210,201
oac166,24,137,90
oac167,54,150,113
oac168,91,159,133
oac169,140,187,166
oac170,160,194,175
oac171,196,217,205
oac172,211,221,212
oac173,23,170,125
oac174,64,183,150
oac175,125,201,177
oac176,180,224,209
oac177,204,237,226
oac178,225,243,237
oac179,233,244,240
oac180,21,149,144
oac181,58,158,164
oac182,93,171,173
oac183,144,188,179
oac184,175,205,193
oac185,195,211,205
oac186,212,222,215
oac187,21,143,129
oac188,24,152,151
oac189,98,176,174
oac190,134,190,188
oac191,175,212,209
oac192,202,222,222
oac193,220,228,226
oac194,24,115,106
oac195,26,128,129
oac196,92,152,143
